Date,ICICI,TataMotors,Jp Morgan,Voltas,BajajFinsv,Havells,Reliance,Asian Paints,Berger Paints,MuthootFin
01-Jan-14,179.581818,345.840515,27.85,106.099998,680.150024,155.740005,411.67276,471.700012,72.60714,106.5
01-Feb-14,189.790909,412.525269,34.880001,133.399994,722.099976,153.759995,396.219238,473,75.714287,123.599998
01-Mar-14,226.372726,394.419464,35.41,160.899994,788.049988,186.779999,461.005127,547.950012,82.089287,154.25
01-Apr-14,226.072723,410.348602,37.419998,156.350006,832.150024,186.279999,463.506409,505.149994,86.85714,153.199997
01-May-14,257.827271,410.645416,37.240002,186.699997,852,194.080002,527.351257,507.600006,88.39286,176
01-Jun-14,257.845459,426.722961,39.060001,218.050003,934.75,234.5,502.932709,594,103.64286,178
01-Jul-14,267.5,442.009003,39.32,192.25,944.25,239.589996,498.499725,628.650024,107.196426,167
01-Aug-14,283.054535,519.478088,48.189999,244.649994,1053.300049,284.200012,494.661102,624.200012,123.160713,166.199997
01-Sep-14,260.645447,496.821106,43.709999,241.600006,1129.650024,264.850006,468.409943,629.549988,135.357147,177.149994
01-Oct-14,295.754547,530.163452,47.099998,251.399994,1068.349976,285.399994,495.577423,657,141.928574,182.149994
01-Nov-14,318.981812,527.838379,45.66,270.549988,1150.599976,319.450012,491.14444,744.700012,140.607147,184.149994
01-Dec-14,321,490.291138,42.279999,242.5,1307.650024,275.350006,441.391052,752.299988,143.839279,187
01-Jan-15,327.909088,578.940308,49.32,268.600006,1447.550049,258.450012,453.327911,857.75,163.535721,190.550003
01-Feb-15,304.772736,569.046387,49.220001,256.200012,1422.150024,273.899994,423.758209,807.150024,161.535721,203.699997
01-Mar-15,286.818176,544.361206,45.060001,279.850006,1414.550049,305.25,409.121948,811.299988,149.035721,190
01-Apr-15,301.045441,508.25,41.189999,281.100006,1434.900024,279.799988,427.126282,762.450012,150.464279,178.199997
01-May-15,288.409088,481.649994,38.299999,332.950012,1527.099976,275.75,434.382477,787.049988,151.892853,172.550003
01-Jun-15,280,434.149994,34.470001,315.299988,1532.099976,282.649994,495.354523,755.349976,139.535721,173.5
01-Jul-15,274.909088,383.850006,29.66,317.600006,1845.699951,279.100006,496.221313,882.799988,155.642853,190.050003
01-Aug-15,252.636368,340.149994,25.32,272.950012,1809.800049,260.149994,423.931549,848.599976,151.785721,151
01-Sep-15,245.77272,298.600006,22.5,268.299988,1729.5,252.25,427.101501,841.599976,156.892853,152.199997
01-Oct-15,251.818176,384.950012,29.57,283.450012,1968,253.600006,469.400543,830.650024,158.357147,160.699997
01-Nov-15,248.681824,423.5,31.57,289.100006,1922.150024,285.75,479.00946,838.5,157.214279,175
01-Dec-15,237.590912,391.299988,29.469999,324.299988,1987.900024,304.700012,502.536469,883.549988,192.035721,172
01-Jan-16,209.227264,336.899994,24.98,286.549988,1861.650024,296.700012,512.838806,869.900024,190.321426,167.850006
01-Feb-16,172.77272,299.700012,22.23,223.399994,1611.900024,272.200012,478.786591,846.099976,160.214279,170.300003
01-Mar-16,215.136368,386.600006,29.049999,278.100006,1711.099976,321.350006,517.69281,868.400024,174.857147,172.050003
01-Apr-16,215.409088,408.350006,30.379999,293.5,1875.349976,332.200012,486.736237,866.25,183.928574,175.5
01-May-16,222.409088,459.649994,33.490002,335.899994,1820.650024,364.5,474.427887,984.849976,202,188.550003
01-Jun-16,218.681824,459.25,34.669998,322.25,2321.600098,359.899994,480.024841,1003.299988,197.285721,232.699997
01-Jul-16,239,503.200012,37.830002,349.549988,2723.899902,389.649994,502.685059,1114.150024,237.850006,266.5
01-Aug-16,234.545456,537.700012,40.77,390.299988,2967.300049,417.600006,525.023315,1157.900024,260.350006,323.5
01-Sep-16,229.227264,534.849976,39.98,379.100006,3069.550049,418.200012,536.762024,1160.699951,261.049988,330.200012
01-Oct-16,251.681824,537,39.41,386.700012,3383.199951,407.100006,522.522034,1069.900024,257.399994,334.149994
01-Nov-16,241.409088,459.299988,33.07,315.850006,2990,344.350006,490.376709,969.900024,228.850006,280
01-Dec-16,232.090912,472,34.389999,328.25,2894.850098,342.25,536.118164,891.049988,210.550003,262
01-Jan-17,244.5,523.549988,38.959999,326.950012,3245.850098,420.049988,517.69281,970.700012,211.5,281.149994
01-Feb-17,251.227264,456.75,33.59,373.5,3914.149902,406.100006,613.212341,1024.199951,231.800003,307
01-Mar-17,251.681824,465.850006,35.650002,412.100006,4098.399902,465.75,654.248352,1073.5,242.100006,325
01-Apr-17,253.181824,458.899994,35.669998,411.049988,4575.649902,483.899994,691.049561,1120.449951,261.25,368.149994
01-May-17,296.772736,476.149994,36.830002,486.350006,4192,487.399994,664.05542,1151.199951,251.75,357.450012
01-Jun-17,290.149994,432.549988,33.009998,457.25,4118.700195,460,683.520935,1102.949951,246.25,403.350006
01-Jul-17,302.600006,444.600006,34.439999,504.25,4991.850098,472.799988,800.016663,1161.699951,247.800003,440.5
01-Aug-17,298.049988,376.549988,29.860001,524.75,5502.850098,488.350006,789.763855,1168.550049,246,414
01-Sep-17,276.600006,401.5,31.27,506.049988,5154.450195,483.149994,773.567383,1131.699951,245.100006,455.149994
01-Oct-17,300.100006,428.399994,32.759998,567.599976,5010.350098,484.75,932.015442,1180.849976,266.049988,471.600006
01-Nov-17,307.549988,404.149994,31.190001,636.599976,5214.100098,509.299988,912.896667,1146.75,258.549988,425.100006
01-Dec-17,314,431.850006,33.07,655.900024,5230.399902,562.450012,912.401367,1158.5,273.75,409
01-Jan-18,352.950012,399.5,30.959999,605,4812.350098,522.349976,952.273376,1128.300049,250.350006,400.75
01-Feb-18,313.25,369.899994,28.02,609.400024,5051.700195,507.649994,945.586792,1117.75,248.699997,363.5
01-Mar-18,278.350006,326.850006,25.700001,620.900024,5171.549805,487.850006,874.411438,1120.400024,256.700012,363.850006
01-Apr-18,284.200012,340.399994,25.120001,642.5,5482.600098,547.25,954.254639,1201.699951,286.600006,400.299988
01-May-18,285.799988,282.5,20.879999,539.950012,6042.25,544.150024,912.698547,1304.650024,298.200012,387
01-Jun-18,275.399994,269.299988,19.549999,523.799988,5821.100098,543.349976,963.318726,1264.449951,281,369.049988
01-Jul-18,304.25,264.100006,18.200001,567.950012,6977.299805,634.400024,1174.863525,1451.400024,315.450012,374
01-Aug-18,342.600006,267.5,18.549999,614.799988,6747.799805,725.25,1229.990967,1372.449951,334.700012,390
01-Sep-18,305.549988,223.699997,15.36,532.200012,6006.200195,594.5,1246.137817,1293.300049,293.049988,385.850006
01-Oct-18,355,179.100006,12.21,540.25,5404.649902,645.799988,1051.284912,1230.400024,279.899994,356
01-Nov-18,355.149994,171.949997,12.2,553.950012,5994.350098,684.700012,1156.58667,1345.949951,319.799988,410
01-Dec-18,360.149994,172.699997,12.18,553.5,6476.950195,691.5,1110.721436,1373.050049,330.299988,389.299988
